text,request_type
I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is. - John Doe,Complaint
The dress arrived with a noticeable tear along the seam. I am returning it. - Robert Thomas,Return
Please send me a prepaid shipping label to return order #88139. - Sarah Martinez,Return
"To Whom It May Concern, I see an unauthorized charge from your company on my bank statement. Please refund it immediately. Regards, David Wilson",Refund
"Hey, The dress arrived with a noticeable tear along the seam. I am returning it. Thanks, Michael Brown",Return
"Hello,

Your app keeps freezing every time I try to update my profile information.

Best,
Sarah Martinez",Complaint
"Dear Support, Do you offer wholesale discounts for bulk orders of over 100 units? Best regards, David Wilson",Other
Your app keeps freezing every time I try to update my profile information. - John Doe,Complaint
"Hello,

This is the third time this month that my delivery has been delayed. Horrible service!

Regards,
Michael Brown",Complaint
I want to return the jacket I bought last week. It just doesn't fit right. - Emily Davis,Return
Your service has been down for three days this week. I expect a partial refund for this month's billing cycle. - Jane Smith,Refund
"Hi there,

Are your products safe for people with severe nut allergies?

Sincerely,
Robert Thomas",Other
"Hi customer support, I'm trying to find out when the out-of-stock winter jackets will be replenished. Best, Michael Brown",Other
"Hey,

The quality of your products has gone downhill significantly. This is unacceptable.

Best regards,
Robert Thomas",Complaint
"The item arrived damaged, so I would like to exchange it for a new one. - Jane Smith",Exchange
"To Whom It May Concern, Do you ship internationally to Australia, and if so, what are the shipping rates? Thank you, Robert Thomas",Other
I want to return the jacket I bought last week. It just doesn't fit right. - Sarah Martinez,Return
I am extremely frustrated with how long it takes to get a response from your support team. - Michael Brown,Complaint
The color of the couch is much darker than it looked online. I need to return it. - Emily Davis,Return
"Hi customer support, Do you ship internationally to Australia, and if so, what are the shipping rates? Thank you, Sarah Martinez",Other
The color of the couch is much darker than it looked online. I need to return it. - John Doe,Return
"Hello team,

Can I exchange order #53064 for a completely different item of the same value?

Best,
Emily Davis",Exchange
"To Whom It May Concern,

I want to return the jacket I bought last week. It just doesn't fit right.

Sincerely,
David Wilson",Return
I am looking for the user manual for model #24316. Can you email me a PDF copy? - David Wilson,Other
"Hi there, Please send me a prepaid shipping label to return order #96846. Regards, Linda Anderson",Return
"Hello team,

I want to return the jacket I bought last week. It just doesn't fit right.

Thanks,
Linda Anderson",Return
"Hello,

I need to exchange this sweater for a larger size. What is the process?

Thank you,
Robert Thomas",Exchange
"Hey,

Your app keeps freezing every time I try to update my profile information.

Looking forward to your reply,
Linda Anderson",Complaint
"Hi there,

I see an unauthorized charge from your company on my bank statement. Please refund it immediately.

Best,
James Taylor",Refund
"To Whom It May Concern,

The dress arrived with a noticeable tear along the seam. I am returning it.

Thank you,
Linda Anderson",Return
"Hello, Can you please help me change the email address associated with my account? Thanks, John Doe",Other
"Hey,

I'd like to exchange the blue sneakers for the exact same pair in black if possible.

Looking forward to your reply,
Linda Anderson",Exchange
I want to return the jacket I bought last week. It just doesn't fit right. - Sarah Martinez,Return
Can I update the shipping address for my order #98276 before it leaves your warehouse? - David Wilson,Other
"Hey,

Your service has been down for three days this week. I expect a partial refund for this month's billing cycle.

Sincerely,
Michael Brown",Refund
Is it possible to exchange an online order at a local retail store? - Linda Anderson,Exchange
"Hello,

The phone case I received is for the wrong model. I need to exchange it for the iPhone 15 Pro version.

Best,
Robert Thomas",Exchange
"Hi there, I accidentally bought the wrong subscription plan. Can you please refund the difference or cancel and refund completely? Best regards, Sarah Martinez",Refund
"The item arrived damaged, so I would like to exchange it for a new one. - Jane Smith",Exchange
"Hey,

The headphones I ordered are defective (left side has no sound). I want to exchange them for a working pair.

Thanks,
Sarah Martinez",Exchange
"To Whom It May Concern, I received a duplicate order by mistake. I want to return the extra one. Best regards, Jane Smith",Return
"Hello team, I'd like to exchange the blue sneakers for the exact same pair in black if possible. Thank you, Linda Anderson",Exchange
"Dear Support, The dress arrived with a noticeable tear along the seam. I am returning it. Best regards, James Taylor",Return
"Hey,

The quality of your products has gone downhill significantly. This is unacceptable.

Regards,
Barbara Jackson",Complaint
"Hi there,

I just wanted to say thank you for the amazing service! My daughter loved her gift.

Thanks,
Jane Smith",Other
"To Whom It May Concern,

I see an unauthorized charge from your company on my bank statement. Please refund it immediately.

Thanks,
Linda Anderson",Refund
"Hey, Your app keeps freezing every time I try to update my profile information. Sincerely, Jane Smith",Complaint
"To Whom It May Concern,

The headphones I ordered are defective (left side has no sound). I want to exchange them for a working pair.

Thanks,
Sarah Martinez",Exchange
Are your products safe for people with severe nut allergies? - Robert Thomas,Other
I'm trying to find out when the out-of-stock winter jackets will be replenished. - Emily Davis,Other
I'd like to exchange the blue sneakers for the exact same pair in black if possible. - Sarah Martinez,Exchange
"My order #30866 never arrived, and tracking says it was lost by the courier. I want my money back. - Emily Davis",Refund
The dress arrived with a noticeable tear along the seam. I am returning it. - Michael Brown,Return
"To Whom It May Concern,

My order #42098 never arrived, and tracking says it was lost by the courier. I want my money back.

Best regards,
John Doe",Refund
Can I update the shipping address for my order #18163 before it leaves your warehouse? - Barbara Jackson,Other
"To Whom It May Concern, Can you please help me change the email address associated with my account? Looking forward to your reply, Emily Davis",Other
"Hello, Can you please help me change the email address associated with my account? Thanks, Linda Anderson",Other
I received a duplicate order by mistake. I want to return the extra one. - John Doe,Return
"To Whom It May Concern,

I accidentally bought the wrong subscription plan. Can you please refund the difference or cancel and refund completely?

Regards,
Emily Davis",Refund
"Hello, I am extremely frustrated with how long it takes to get a response from your support team. Sincerely, Sarah Martinez",Complaint
"Hey,

Your website kept crashing during checkout, and now I see multiple pending charges on my card.

Regards,
Linda Anderson",Complaint
"To Whom It May Concern,

I am looking for the user manual for model #99224. Can you email me a PDF copy?

Best,
James Taylor",Other
"Hi customer support, Your app keeps freezing every time I try to update my profile information. Best, Michael Brown",Complaint
"Hello team,

The headphones I ordered are defective (left side has no sound). I want to exchange them for a working pair.

Thanks,
Emily Davis",Exchange
The item I received was completely broken. I would like a full refund instead of a replacement. - Robert Thomas,Refund
"Dear Support, I received a duplicate order by mistake. I want to return the extra one. Best, Robert Thomas",Return
"Dear Support,

The quality of your products has gone downhill significantly. This is unacceptable.

Best regards,
Sarah Martinez",Complaint
"Dear Support,

I would like to delete my account and have all my personal data removed under GDPR.

Sincerely,
John Doe",Other
"Hi customer support,

I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is.

Thanks,
David Wilson",Complaint
I am extremely frustrated with how long it takes to get a response from your support team. - Sarah Martinez,Complaint
"Dear Support,

I received the wrong variant of the coffee maker. I need to exchange it for the one I actually ordered.

Regards,
Sarah Martinez",Exchange
"Hello team,

Your app keeps freezing every time I try to update my profile information.

Thanks,
Barbara Jackson",Complaint
I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is. - John Doe,Complaint
"Dear Support, The product did not match the description on your website at all. I want a refund. Regards, Barbara Jackson",Refund
"Hey,

I'd like to exchange the blue sneakers for the exact same pair in black if possible.

Thanks,
Sarah Martinez",Exchange
"Hey,

The item I received was completely broken. I would like a full refund instead of a replacement.

Best regards,
Jane Smith",Refund
Please send me a prepaid shipping label to return order #33788. - Linda Anderson,Return
"Hey,

I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund.

Looking forward to your reply,
David Wilson",Refund
I just wanted to say thank you for the amazing service! My daughter loved her gift. - Robert Thomas,Other
Are your products safe for people with severe nut allergies? - Linda Anderson,Other
"Hey, Your customer service representative was extremely rude to me on the phone today. Best, Robert Thomas",Complaint
"Hello, Can I return an item at one of your physical store locations instead of mailing it back? Best regards, David Wilson",Return
"Hi customer support,

I want to return the jacket I bought last week. It just doesn't fit right.

Best,
James Taylor",Return
"Hello, The item I received was completely broken. I would like a full refund instead of a replacement. Thanks, John Doe",Refund
"The packaging was completely torn open when it arrived, and some components are missing. - Robert Thomas",Complaint
The delivery driver just threw the package onto my driveway in the rain. The contents are ruined. - Linda Anderson,Complaint
"Hi customer support,

I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is.

Looking forward to your reply,
Sarah Martinez",Complaint
I received a duplicate order by mistake. I want to return the extra one. - James Taylor,Return
"Hello,

I need to exchange this sweater for a larger size. What is the process?

Thanks,
Barbara Jackson",Exchange
"Dear Support, The item I received was completely broken. I would like a full refund instead of a replacement. Thank you, Sarah Martinez",Refund
"Dear Support, I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund. Sincerely, Sarah Martinez",Refund
"Hi there, Please send me a prepaid shipping label to return order #62757. Best regards, Linda Anderson",Return
"Your website kept crashing during checkout, and now I see multiple pending charges on my card. - Linda Anderson",Complaint
This is the third time this month that my delivery has been delayed. Horrible service! - Jane Smith,Complaint
"Dear Support, The product did not match the description on your website at all. I want a refund. Best regards, David Wilson",Refund
"Hello team,

I was charged twice for my subscription this month. Please check transaction ID #91183.

Best,
Barbara Jackson",Refund
"To Whom It May Concern,

I want to exchange this blender for the upgraded model and I'll pay the difference.

Regards,
Michael Brown",Exchange
"Hi customer support, The color of the couch is much darker than it looked online. I need to return it. Best, David Wilson",Return
"Hi there,

The packaging was completely torn open when it arrived, and some components are missing.

Thank you,
Linda Anderson",Complaint
"I received order #51704 today, but the shoes are too small. How do I start a return? - James Taylor",Return
"Hello team, I would like to delete my account and have all my personal data removed under GDPR. Thank you, Emily Davis",Other
"Hello team, The item I received was completely broken. I would like a full refund instead of a replacement. Best, Emily Davis",Refund
"Hello team,

I was charged twice for my subscription this month. Please check transaction ID #96673.

Regards,
Jane Smith",Refund
"Hello team, The color of the couch is much darker than it looked online. I need to return it. Best, Jane Smith",Return
"Hey,

I need to exchange this sweater for a larger size. What is the process?

Best,
John Doe",Exchange
"Hi there, The phone case I received is for the wrong model. I need to exchange it for the iPhone 15 Pro version. Regards, Jane Smith",Exchange
"Hi there, Can you please help me change the email address associated with my account? Thank you, Barbara Jackson",Other
"Dear Support, I received the shirt but it's a bit too tight. Can I exchange it for a size Medium? Thank you, John Doe",Exchange
"Hello team, Can I exchange order #24184 for a completely different item of the same value? Regards, Linda Anderson",Exchange
"Do you ship internationally to Australia, and if so, what are the shipping rates? - Linda Anderson",Other
"Hi customer support, Can I return an item at one of your physical store locations instead of mailing it back? Looking forward to your reply, John Doe",Return
"Hello team,

I received a duplicate order by mistake. I want to return the extra one.

Best regards,
David Wilson",Return
I accidentally bought the wrong subscription plan. Can you please refund the difference or cancel and refund completely? - John Doe,Refund
"Dear Support,

Do you offer wholesale discounts for bulk orders of over 100 units?

Regards,
Linda Anderson",Other
"Hi there,

The item arrived damaged, so I would like to exchange it for a new one.

Regards,
Jane Smith",Exchange
"Hi there, The event was cancelled, and I haven't received my ticket refund yet. Order reference is #78522. Regards, Barbara Jackson",Refund
"Dear Support, I received the shirt but it's a bit too tight. Can I exchange it for a size Medium? Thank you, David Wilson",Exchange
I am extremely frustrated with how long it takes to get a response from your support team. - James Taylor,Complaint
The product did not match the description on your website at all. I want a refund. - Emily Davis,Refund
"Hello,

Your app keeps freezing every time I try to update my profile information.

Thank you,
Robert Thomas",Complaint
Is it possible to get a tax invoice for my recent purchase? I need it for company expenses. - Barbara Jackson,Other
I was charged twice for my subscription this month. Please check transaction ID #78146. - James Taylor,Refund
"To Whom It May Concern, I'm trying to find out when the out-of-stock winter jackets will be replenished. Best, Emily Davis",Other
I need to exchange this sweater for a larger size. What is the process? - James Taylor,Exchange
The color of the couch is much darker than it looked online. I need to return it. - Sarah Martinez,Return
"Dear Support,

I received the wrong variant of the coffee maker. I need to exchange it for the one I actually ordered.

Thanks,
Jane Smith",Exchange
"The event was cancelled, and I haven't received my ticket refund yet. Order reference is #95717. - David Wilson",Refund
"Hi customer support,

I cancelled my order #87992 before it shipped, but the money hasn't been refunded to my account yet.

Looking forward to your reply,
Michael Brown",Refund
"Hi customer support,

My order #96951 never arrived, and tracking says it was lost by the courier. I want my money back.

Regards,
Robert Thomas",Refund
I see an unauthorized charge from your company on my bank statement. Please refund it immediately. - Jane Smith,Refund
"Hi customer support,

I'd like to exchange the blue sneakers for the exact same pair in black if possible.

Sincerely,
John Doe",Exchange
"Hi customer support,

Can I return an item at one of your physical store locations instead of mailing it back?

Thank you,
Sarah Martinez",Return
I received the shirt but it's a bit too tight. Can I exchange it for a size Medium? - David Wilson,Exchange
The phone case I received is for the wrong model. I need to exchange it for the iPhone 15 Pro version. - David Wilson,Exchange
I need to know your return policy for items purchased during the holiday sale. - Robert Thomas,Return
"Hey, I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund. Thanks, Jane Smith",Refund
I received the shirt but it's a bit too tight. Can I exchange it for a size Medium? - James Taylor,Exchange
"To Whom It May Concern,

I accidentally bought the wrong subscription plan. Can you please refund the difference or cancel and refund completely?

Thanks,
Barbara Jackson",Refund
"Hey, I received the wrong variant of the coffee maker. I need to exchange it for the one I actually ordered. Regards, John Doe",Exchange
"Hello team, Your customer service representative was extremely rude to me on the phone today. Sincerely, Jane Smith",Complaint
I am looking for the user manual for model #44664. Can you email me a PDF copy? - James Taylor,Other
"Hey, The delivery driver just threw the package onto my driveway in the rain. The contents are ruined. Regards, Sarah Martinez",Complaint
I received the shirt but it's a bit too tight. Can I exchange it for a size Medium? - James Taylor,Exchange
"The event was cancelled, and I haven't received my ticket refund yet. Order reference is #57400. - David Wilson",Refund
"Hi customer support, Can I return an item at one of your physical store locations instead of mailing it back? Sincerely, David Wilson",Return
"Hello, The headphones I ordered are defective (left side has no sound). I want to exchange them for a working pair. Best, David Wilson",Exchange
Is it possible to get a tax invoice for my recent purchase? I need it for company expenses. - Jane Smith,Other
"Hello,

The quality of your products has gone downhill significantly. This is unacceptable.

Thanks,
David Wilson",Complaint
"Hi there, I received order #23970 today, but the shoes are too small. How do I start a return? Sincerely, Michael Brown",Return
"Hi there,

Please send me a prepaid shipping label to return order #40217.

Thanks,
David Wilson",Return
I received a duplicate order by mistake. I want to return the extra one. - Michael Brown,Return
"Hi customer support,

I received a duplicate order by mistake. I want to return the extra one.

Looking forward to your reply,
Barbara Jackson",Return
"Dear Support, The product did not match the description on your website at all. I want a refund. Sincerely, Linda Anderson",Refund
"Hi there, I want to return the jacket I bought last week. It just doesn't fit right. Thanks, Sarah Martinez",Return
"Hello,

I would like to delete my account and have all my personal data removed under GDPR.

Looking forward to your reply,
Linda Anderson",Other
"Hey,

This is the third time this month that my delivery has been delayed. Horrible service!

Best,
Michael Brown",Complaint
"Hey,

I received the wrong variant of the coffee maker. I need to exchange it for the one I actually ordered.

Looking forward to your reply,
Emily Davis",Exchange
"Hello team,

Your service has been down for three days this week. I expect a partial refund for this month's billing cycle.

Regards,
David Wilson",Refund
"Hi customer support,

I'd like to exchange the blue sneakers for the exact same pair in black if possible.

Looking forward to your reply,
Jane Smith",Exchange
Are your products safe for people with severe nut allergies? - Emily Davis,Other
"Hi there, Can I return an item at one of your physical store locations instead of mailing it back? Regards, Jane Smith",Return
Is it possible to get a tax invoice for my recent purchase? I need it for company expenses. - Emily Davis,Other
"To Whom It May Concern,

Is it possible to get a tax invoice for my recent purchase? I need it for company expenses.

Regards,
David Wilson",Other
"Hello,

I'd like to exchange the blue sneakers for the exact same pair in black if possible.

Thanks,
Michael Brown",Exchange
"Hi there,

I want to exchange this blender for the upgraded model and I'll pay the difference.

Best regards,
Michael Brown",Exchange
"Dear Support,

The event was cancelled, and I haven't received my ticket refund yet. Order reference is #81066.

Sincerely,
John Doe",Refund
Your app keeps freezing every time I try to update my profile information. - John Doe,Complaint
"Dear Support, I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is. Sincerely, Linda Anderson",Complaint
"Hi there,

I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is.

Thanks,
Linda Anderson",Complaint
"Dear Support, I'm trying to find out when the out-of-stock winter jackets will be replenished. Thank you, Michael Brown",Other
"Hello, The phone case I received is for the wrong model. I need to exchange it for the iPhone 15 Pro version. Regards, Barbara Jackson",Exchange
"Hi customer support, The phone case I received is for the wrong model. I need to exchange it for the iPhone 15 Pro version. Thank you, Jane Smith",Exchange
"Do you ship internationally to Australia, and if so, what are the shipping rates? - Jane Smith",Other
"Hello team,

The dress arrived with a noticeable tear along the seam. I am returning it.

Regards,
James Taylor",Return
"Hello team,

I see an unauthorized charge from your company on my bank statement. Please refund it immediately.

Thanks,
Michael Brown",Refund
The item I received was completely broken. I would like a full refund instead of a replacement. - James Taylor,Refund
"Hello, Do you ship internationally to Australia, and if so, what are the shipping rates? Sincerely, Michael Brown",Other
The delivery driver just threw the package onto my driveway in the rain. The contents are ruined. - James Taylor,Complaint
"Hi there, I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund. Thank you, Linda Anderson",Refund
The delivery driver just threw the package onto my driveway in the rain. The contents are ruined. - Jane Smith,Complaint
"To Whom It May Concern, I received the shirt but it's a bit too tight. Can I exchange it for a size Medium? Regards, Barbara Jackson",Exchange
"Hello, I ordered a large but you sent me a small. I need to return this item. Thanks, Linda Anderson",Return
"Dear Support,

Are your products safe for people with severe nut allergies?

Thanks,
Barbara Jackson",Other
"To Whom It May Concern,

I'm trying to find out when the out-of-stock winter jackets will be replenished.

Best,
James Taylor",Other
"To Whom It May Concern,

I just wanted to say thank you for the amazing service! My daughter loved her gift.

Best,
Linda Anderson",Other
"Hey, The headphones I ordered are defective (left side has no sound). I want to exchange them for a working pair. Looking forward to your reply, Jane Smith",Exchange
"Hey,

My order #39831 never arrived, and tracking says it was lost by the courier. I want my money back.

Thank you,
Sarah Martinez",Refund
"The item arrived damaged, so I would like to exchange it for a new one. - Jane Smith",Exchange
"Dear Support,

I just wanted to say thank you for the amazing service! My daughter loved her gift.

Looking forward to your reply,
Linda Anderson",Other
"Hi customer support,

Your service has been down for three days this week. I expect a partial refund for this month's billing cycle.

Thank you,
John Doe",Refund
"Hi there, I received a duplicate order by mistake. I want to return the extra one. Thanks, Sarah Martinez",Return
"My order #65444 never arrived, and tracking says it was lost by the courier. I want my money back. - Linda Anderson",Refund
"Hello, The quality of your products has gone downhill significantly. This is unacceptable. Best, Barbara Jackson",Complaint
"Dear Support,

The color of the couch is much darker than it looked online. I need to return it.

Best regards,
Robert Thomas",Return
"Hi customer support, The product did not match the description on your website at all. I want a refund. Regards, Emily Davis",Refund
"Hi there, The headphones I ordered are defective (left side has no sound). I want to exchange them for a working pair. Sincerely, Emily Davis",Exchange
"Hi there,

The headphones I ordered are defective (left side has no sound). I want to exchange them for a working pair.

Best,
Michael Brown",Exchange
"Hello, I need to exchange this sweater for a larger size. What is the process? Thanks, James Taylor",Exchange
"Hello team,

This is the third time this month that my delivery has been delayed. Horrible service!

Regards,
Jane Smith",Complaint
"Dear Support,

I ordered a large but you sent me a small. I need to return this item.

Thanks,
Sarah Martinez",Return
"Hi customer support, Can I exchange order #21846 for a completely different item of the same value? Sincerely, David Wilson",Exchange
"Hi there, I ordered a large but you sent me a small. I need to return this item. Thank you, Sarah Martinez",Return
"Hi there,

I accidentally bought the wrong subscription plan. Can you please refund the difference or cancel and refund completely?

Regards,
Robert Thomas",Refund
"Hey,

I want to exchange this blender for the upgraded model and I'll pay the difference.

Thank you,
Barbara Jackson",Exchange
"Hey, I want to return the jacket I bought last week. It just doesn't fit right. Thank you, Jane Smith",Return
"Dear Support,

My order #15014 never arrived, and tracking says it was lost by the courier. I want my money back.

Sincerely,
Barbara Jackson",Refund
"Hi there, I bought this as a gift but the person already has one. Can I return it for store credit or original payment? Regards, Barbara Jackson",Return
I see an unauthorized charge from your company on my bank statement. Please refund it immediately. - Jane Smith,Refund
"Hello team, I would like to delete my account and have all my personal data removed under GDPR. Looking forward to your reply, Emily Davis",Other
Is it possible to get a tax invoice for my recent purchase? I need it for company expenses. - James Taylor,Other
"To Whom It May Concern, Your website kept crashing during checkout, and now I see multiple pending charges on my card. Sincerely, John Doe",Complaint
"Hi customer support,

This is the third time this month that my delivery has been delayed. Horrible service!

Sincerely,
James Taylor",Complaint
I am extremely frustrated with how long it takes to get a response from your support team. - Jane Smith,Complaint
"Hello, Your website kept crashing during checkout, and now I see multiple pending charges on my card. Regards, Sarah Martinez",Complaint
"Hello,

Can I return an item at one of your physical store locations instead of mailing it back?

Looking forward to your reply,
Robert Thomas",Return
"To Whom It May Concern, I would like to delete my account and have all my personal data removed under GDPR. Best, John Doe",Other
"Hi there, Are your products safe for people with severe nut allergies? Best, John Doe",Other
"To Whom It May Concern, Your website kept crashing during checkout, and now I see multiple pending charges on my card. Best, Barbara Jackson",Complaint
"Hello, My order #27361 never arrived, and tracking says it was lost by the courier. I want my money back. Sincerely, Robert Thomas",Refund
"Hi customer support, My order #30676 never arrived, and tracking says it was lost by the courier. I want my money back. Sincerely, Sarah Martinez",Refund
"Dear Support,

I see an unauthorized charge from your company on my bank statement. Please refund it immediately.

Thank you,
David Wilson",Refund
"I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund. - Michael Brown",Refund
"The item arrived damaged, so I would like to exchange it for a new one. - Jane Smith",Exchange
"Dear Support,

Is it possible to get a tax invoice for my recent purchase? I need it for company expenses.

Looking forward to your reply,
Barbara Jackson",Other
The quality of your products has gone downhill significantly. This is unacceptable. - Sarah Martinez,Complaint
"Hello team,

The dress arrived with a noticeable tear along the seam. I am returning it.

Regards,
Linda Anderson",Return
"Dear Support,

Is it possible to get a tax invoice for my recent purchase? I need it for company expenses.

Looking forward to your reply,
David Wilson",Other
"Hello, Do you ship internationally to Australia, and if so, what are the shipping rates? Best, Michael Brown",Other
"Hello,

Is it possible to exchange an online order at a local retail store?

Regards,
Jane Smith",Exchange
I would like to delete my account and have all my personal data removed under GDPR. - David Wilson,Other
Is it possible to exchange an online order at a local retail store? - Emily Davis,Exchange
"Hey, I want to exchange this blender for the upgraded model and I'll pay the difference. Thanks, Jane Smith",Exchange
"Hi there,

Can I exchange order #80457 for a completely different item of the same value?

Best regards,
Jane Smith",Exchange
I just wanted to say thank you for the amazing service! My daughter loved her gift. - Robert Thomas,Other
"Dear Support,

I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund.

Thanks,
Barbara Jackson",Refund
"My order #62296 never arrived, and tracking says it was lost by the courier. I want my money back. - Emily Davis",Refund
The phone case I received is for the wrong model. I need to exchange it for the iPhone 15 Pro version. - Jane Smith,Exchange
"I cancelled my order #47196 before it shipped, but the money hasn't been refunded to my account yet. - Michael Brown",Refund
"Hey, I received order #32962 today, but the shoes are too small. How do I start a return? Thanks, Barbara Jackson",Return
"Hello, I need to exchange this sweater for a larger size. What is the process? Thank you, James Taylor",Exchange
"Hey, Do you ship internationally to Australia, and if so, what are the shipping rates? Regards, James Taylor",Other
"Hello team, I'm trying to find out when the out-of-stock winter jackets will be replenished. Best, James Taylor",Other
"Hi customer support,

The event was cancelled, and I haven't received my ticket refund yet. Order reference is #23104.

Thank you,
Barbara Jackson",Refund
Is it possible to exchange an online order at a local retail store? - Barbara Jackson,Exchange
"Hi customer support, The packaging was completely torn open when it arrived, and some components are missing. Thank you, John Doe",Complaint
"Hello,

Are your products safe for people with severe nut allergies?

Looking forward to your reply,
Sarah Martinez",Other
"Hello team,

The dress arrived with a noticeable tear along the seam. I am returning it.

Thanks,
Linda Anderson",Return
"Hi customer support,

This is the third time this month that my delivery has been delayed. Horrible service!

Looking forward to your reply,
Linda Anderson",Complaint
"Hi there, Your customer service representative was extremely rude to me on the phone today. Looking forward to your reply, Linda Anderson",Complaint
"To Whom It May Concern,

I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund.

Thanks,
Emily Davis",Refund
